32
1185	1564	1841	1594	1374	1111	1672	1680	1479	1588	1055	1587	1671	1953	1974	1103	1309	2000	1867	1658	0	1868	1120	1392	1505	1363	1861	1246	1520	1811	1882	1725
1847	1914	1628	1188	1546	1207	1686	1108	1827	1113	1540	1371	1354	1408	1327	1056	1153	2001	1617	1600	1868	0	1100	1946	1690	1035	1748	1164	1192	1605	1123	1402
2035	1573	1109	1375	1285	1652	1046	1106	1597	1130	1753	1190	1311	1536	2003	1991	1096	1707	1069	1280	1120	1100	0	1797	1498	1377	1037	1209	1356	1451	1532	1544
1370	1514	1767	2043	1803	1194	1397	1613	1258	1754	1288	1570	1699	1177	1443	1983	1139	1667	1267	1894	1392	1946	1797	0	1399	1930	1865	1538	1390	1182	1781	1822
1420	1526	1723	1261	1238	1119	1303	1282	1556	1271	1757	1808	1844	1353	1264	1198	1470	1200	1104	1178	1505	1690	1498	1399	0	1798	1496	1928	1436	1453	1666	1307
1708	1687	1789	1095	1252	1492	1892	1099	1619	1247	2020	1938	1626	1362	2038	1516	1085	1642	1884	1248	1363	1035	1377	1930	1798	0	1244	1465	1061	1477	1879	1593
1985	1448	1752	1941	1812	1138	1219	1151	1534	1497	1129	1663	1621	1507	1616	1413	1578	1373	1622	1339	1861	1748	1037	1865	1496	1244	0	1939	1150	1125	1167	1679
2040	1419	2031	1276	1598	1358	1171	1528	1045	1581	1900	1780	1314	1907	1447	1673	1719	1222	1067	1607	1246	1164	1209	1538	1928	1465	1939	0	2025	1342	1852	1651
1889	1695	1232	1142	1858	1830	1964	1416	1500	1674	1359	1740	1543	1774	1204	1134	1360	2007	1333	1701	1520	1192	1356	1390	1436	1061	1150	2025	0	1136	1710	1905
1761	1393	1792	1090	1629	1081	1799	1625	1947	1115	1743	1183	1158	1299	1821	1387	1954	1165	1032	1759	1811	1605	1451	1182	1453	1477	1125	1342	1136	0	1866	1249
1218	1335	1135	1787	1400	1357	1351	2026	1072	1205	1980	1372	1053	1875	1793	2047	1958	1499	1731	1337	1882	1123	1532	1781	1666	1879	1167	1852	1710	1866	0	1981
1768	1394	1555	1571	2018	1919	1310	1796	1966	1093	1272	1741	1940	1137	1935	1756	2012	1412	1298	1300	1725	1402	1544	1822	1307	1593	1679	1651	1905	1249	1981	0
